Date,KO,PEP
2018-01-02,35.742027282714844,93.32514190673828
2018-01-03,35.66353225708008,93.08010864257812
2018-01-04,36.16585159301758,93.53856658935547
2018-01-05,36.15799331665039,93.8073501586914
2018-01-08,36.103065490722656,93.26981353759766
2018-01-09,36.2835693359375,93.34098052978516
2018-01-10,36.15799331665039,92.86666870117188
2018-01-11,36.134456634521484,92.39239501953125
2018-01-12,36.22078323364258,92.78763580322266
2018-01-16,36.51902389526367,93.16706085205078
2018-01-17,36.74663543701172,94.21050262451172
2018-01-18,36.79372787475586,94.10772705078125
2018-01-19,37.01348114013672,94.99308776855469
2018-01-22,37.1861457824707,96.05233764648438
2018-01-23,37.2410888671875,95.8863296508789
2018-01-24,37.53933334350586,95.75984954833984
2018-01-25,37.54718017578125,95.57014465332031
2018-01-26,38.08872604370117,96.24996948242188
2018-01-29,37.43730926513672,94.59783172607422
2018-01-30,37.209686279296875,94.77177429199219
2018-01-31,37.35097122192383,95.09584045410156
2018-02-01,37.2410888671875,95.09584045410156
2018-02-02,36.67599105834961,93.8073501586914
2018-02-05,35.23188018798828,90.47938537597656
2018-02-06,35.05921173095703,89.76795959472656
2018-02-07,34.97288131713867,89.72051239013672
2018-02-08,33.82699203491211,87.07238006591797
2018-02-09,33.85054397583008,87.88660430908203
2018-02-12,34.50981903076172,88.47945404052734
2018-02-13,34.68247985839844,88.64545440673828
2018-02-14,34.61184310913086,86.25028228759766
2018-02-15,35.145538330078125,87.72061157226562
2018-02-16,35.302513122558594,87.79173278808594
2018-02-20,34.5255126953125,86.54276275634766
2018-02-21,34.01536178588867,85.37281799316406
2018-02-22,34.15664291381836,86.36885070800781
2018-02-23,34.564754486083984,86.70084381103516
2018-02-26,34.55690002441406,87.6968765258789
2018-02-27,34.23512268066406,87.6573486328125
2018-02-28,33.92118453979492,86.74039459228516
2018-03-01,34.08598709106445,86.09932708740234
2018-03-02,34.313602447509766,86.83195495605469
2018-03-05,34.447025299072266,87.14253997802734
2018-03-06,34.478424072265625,87.26197052001953
2018-03-07,34.39208221435547,87.46903228759766
2018-03-08,34.88655090332031,89.2528076171875
2018-03-09,35.176937103271484,89.6191177368164
2018-03-12,34.9493408203125,89.78633880615234
2018-03-13,34.98073196411133,90.46321868896484
2018-03-14,34.66400146484375,89.67486572265625
2018-03-15,34.5769157409668,89.18112182617188
2018-03-16,34.41064453125,88.90241241455078
2018-03-19,34.252288818359375,87.88311004638672
2018-03-20,34.17311096191406,87.51681518554688
2018-03-21,34.046424865722656,86.5930404663086
2018-03-22,33.85640335083008,85.95600128173828
2018-03-23,33.515933990478516,84.53055572509766
2018-03-26,33.80097961425781,85.05615234375
2018-03-27,33.95932388305664,85.71709442138672
2018-03-28,34.29979705810547,86.94343566894531
2018-03-29,34.386878967285156,86.9195556640625
2018-04-02,33.785133361816406,85.24726104736328
2018-04-03,34.34730911254883,86.15506744384766
2018-04-04,35.028221130371094,87.7397689819336
2018-04-05,35.15491485595703,88.05034637451172
2018-04-06,34.774864196777344,87.03899383544922
2018-04-09,34.70360565185547,87.10271453857422
2018-04-10,34.83028793334961,87.11864471435547
2018-04-11,34.83028793334961,86.54527282714844
2018-04-12,34.86194610595703,86.25064086914062
2018-04-13,35.242008209228516,87.00715637207031
2018-04-16,35.376617431640625,87.53271484375
2018-04-17,35.534969329833984,86.69657897949219
2018-04-18,35.242008209228516,85.19152069091797
2018-04-19,35.08365249633789,84.06868743896484
2018-04-20,34.63234329223633,81.60801696777344
2018-04-23,34.82237243652344,81.68766021728516
2018-04-24,34.10184860229492,80.77983856201172
2018-04-25,33.59511947631836,80.54891967773438
2018-04-26,33.84848403930664,82.22914123535156
2018-04-27,34.2918815612793,80.99484252929688
2018-04-30,34.21269989013672,80.38168334960938
2018-05-01,33.721797943115234,78.94031524658203
2018-05-02,33.30215835571289,77.42729187011719
2018-05-03,33.16754913330078,77.721923828125
2018-05-04,33.53968811035156,78.82884216308594
2018-05-07,33.365501403808594,78.22361755371094
2018-05-08,33.10420227050781,77.07689666748047
2018-05-09,33.08045959472656,76.5752182006836
2018-05-10,33.39717483520508,77.45913696289062
2018-05-11,33.365501403808594,77.5865478515625
2018-05-14,33.28631591796875,77.36358642578125
2018-05-15,33.03294372558594,77.08484649658203
2018-05-16,32.898338317871094,77.39543914794922
2018-05-17,33.492183685302734,77.97676086425781
2018-05-18,33.39717483520508,77.6502685546875
2018-05-21,33.57928466796875,79.24291229248047
2018-05-22,33.45259094238281,79.57738494873047
2018-05-23,33.57135772705078,79.99149322509766
2018-05-24,33.50801467895508,79.77644348144531
2018-05-25,33.57135772705078,79.87998962402344
2018-05-29,33.79306411743164,80.50908660888672
2018-05-30,34.14936065673828,81.09040069580078
2018-05-31,34.046424865722656,80.56643676757812
2018-06-01,34.14143371582031,80.56643676757812
2018-06-04,34.43440246582031,80.46196746826172
2018-06-05,34.13352966308594,80.5342788696289
2018-06-06,34.41064453125,81.03255462646484
2018-06-07,34.39480209350586,81.29773712158203
2018-06-08,34.79861831665039,82.36660766601562
2018-06-11,34.941123962402344,82.94523620605469
2018-06-12,35.1628303527832,83.96590423583984
2018-06-13,34.98072052001953,84.60076904296875
2018-06-14,34.81296920776367,84.48826599121094
2018-06-15,35.244327545166016,86.4813461303711
2018-06-18,34.789005279541016,84.68917083740234
2018-06-19,34.82894515991211,85.15531158447266
2018-06-20,34.557342529296875,85.03475189208984
2018-06-21,34.421546936035156,86.1839828491211
2018-06-22,34.549354553222656,87.09210968017578
2018-06-25,34.81296920776367,87.59037017822266
